BranchCode,Region,City,Format,OpeningDate,MonthlyBaselineVolume
BR001,British Columbia  ,Ottawa,Full Service,2019-05-09,399338.75
BR002,Ontario  ,Hamilton,Full Service,2017-03-18,261742.11
BR003,Quebec  ,London,Full Service,2014-11-10,286423.73
BR004,British Columbia  ,Richmond,Full Service,2013-06-11,327153.6
BR005,Prairies  ,Windsor,Limited Service,2019-10-28,86573.84
BR006,Ontario  ,Montreal,Full Service,2010-08-31,329658.76
BR007,Ontario  ,Winnipeg,Full Service,2011-08-30,268404.5
BR008,British Columbia  ,Kelowna,Full Service,2023-06-04,304537.82
BR009,Quebec  ,Vancouver,Limited Service,2009-01-13,74824.48
BR010,Prairies  ,Saint John,Full Service,2023-11-09,227093.87
BR011,Ontario  ,Regina,Limited Service,2017-01-18,85149.33
BR012,Quebec  ,Vancouver,Full Service,2016-04-23,291047.13
BR013,Prairies  ,Quebec City,Limited Service,2009-07-09,107991.75
BR014,Atlantic  ,Quebec City,Full Service,2017-08-08,274225.09
BR015,Ontario  ,Windsor,Full Service,2013-03-19,341820.03
BR016,Ontario  ,Winnipeg,Full Service,2011-05-03,243953.18
BR017,Ontario  ,Kelowna,Full Service,2019-07-10,286895.49
BR018,Quebec  ,Kelowna,Limited Service,2020-04-19,160040.34
BR019,British Columbia  ,Sherbrooke,Limited Service,2009-07-06,120144.22
BR020,Quebec  ,Calgary,Full Service,2016-06-09,238278.07
BR021,British Columbia  ,Toronto,Full Service,2021-10-19,228706.36
BR022,Quebec  ,Regina,Limited Service,2023-03-06,100600.72
BR023,Ontario  ,London,Limited Service,2014-05-22,144373.93
BR024,Ontario  ,Kelowna,Full Service,2022-08-15,366454.43
BR025,Atlantic  ,Saint John,Full Service,2010-09-22,259775.5
BR026,Prairies  ,Vancouver,Full Service,2009-04-10,310098.57
BR027,Atlantic  ,Saint John,Full Service,2016-08-23,211793.22
BR028,Ontario  ,Hamilton,Limited Service,2021-03-29,159248.63
BR029,Ontario  ,Toronto,Limited Service,2011-03-15,177886.12
BR030,British Columbia  ,Saskatoon,Full Service,2017-06-30,377697.73
BR031,Prairies  ,Kelowna,Full Service,2012-03-26,309309.27
BR032,Ontario  ,London,Limited Service,2018-03-06,170207.94
BR033,Quebec  ,Saskatoon,Full Service,2022-04-11,199962.98
BR034,Ontario  ,Burnaby,Full Service,2015-08-07,205644.06
BR035,Quebec  ,Calgary,Full Service,2019-07-31,293346.44
BR036,Ontario  ,Lethbridge,Full Service,2018-12-15,386375.8
BR037,Quebec  ,Calgary,Full Service,2012-07-12,327079.39
BR038,Quebec  ,Winnipeg,Full Service,2011-09-04,242959.8
BR039,Ontario  ,Winnipeg,Full Service,2013-01-27,273844.87
BR040,British Columbia  ,Lethbridge,Full Service,2019-10-14,383391.27
