TransactionID,Date,BranchCode,TellerID,CustomerID,TransactionType,Amount,Currency
CA00001734,2025-01-24,BR008,TLR-3514,C503795,cash withdrawal,1441.44,CAD
CA00001878,2025-01-17,BR009,TLR-9612,C502348,cash withdrawal,4620.62,CAD
CA00001393,2025-01-17,BR007,TLR-4240,C500628,cash deposit,886.22,CAD
CA00005103,2025-01-26,BR026,TLR-3525,C500461,cash deposit,805.99,CAD
CA00002946,2025-01-15,BR015,TLR-1584,C502022,cash deposit,895.82,CAD
CA00005541,2025-01-15,BR028,TLR-5909,C500270,cash deposit,1004.89,CAD
CA00005018,2025-01-09,BR026,TLR-4970,C502617,cash withdrawal,-988.98,CAD
CA00006887,2025-01-20,BR035,TLR-2931,C502841,cash withdrawal,853.28,CAD
CA00003762,2025-01-25,BR019,TLR-1406,C502850,cash withdrawal,2090.92,CAD
CA00002318,2025-01-06,BR012,TLR-2482,C500582,cash withdrawal,997.19,CAD
CA00008252,2025-01-12,BR040,TLR-3540,C503801,cash deposit,1553.83,CAD
CA00006776,2025-01-04,BR035,TLR-6669,C502430,cash deposit,683.34,CAD
CA00000879,2025-01-09,BR004,TLR-8141,C503940,cash deposit,2748.54,CAD
CA00008466,2025-01-09,BR040,TLR-6064,C501160,cash withdrawal,771.28,CAD
CA00002741,2025-01-01,BR015,TLR-3507,C503151,cash withdrawal,344.61,CAD
CA00007463,2025-01-02,BR037,TLR-6502,C500133,cash deposit,1036.23,CAD
CA00000227,2025-01-06,BR001,TLR-6574,C500326,cash deposit,2120.24,CAD
CA00003779,2025-01-29,BR019,TLR-2765,C501533,cash withdrawal,677.22,CAD
CA00008227,2025-01-27,BR040,TLR-8114,C501750,cash withdrawal,1880.42,CAD
CA00004337,2025-01-03,BR023,TLR-5209,C501511,cash withdrawal,1038.75,CAD
CA00008651,2025-01-05,BR040,TLR-3148,C501917,cash withdrawal,776.72,CAD
CA00006293,2025-01-01,BR032,TLR-6350,C501419,cash withdrawal,755.74,CAD
CA00001521,2025-01-31,BR007,TLR-6494,C502938,cash deposit,203.46,CAD
CA00003469,2025-01-11,BR018,TLR-2744,C501197,cash deposit,1493.03,CAD
CA00002970,2025-01-19,BR015,TLR-4398,C500391,cash withdrawal,957.52,CAD
CA00000013,2025-01-20,BR001,TLR-5889,C502785,cash withdrawal,593.2,CAD
CA00003555,2025-01-07,BR018,TLR-2441,C503251,cash withdrawal,235.09,CAD
CA00004201,2025-01-04,BR021,TLR-5512,C501951,cash deposit,355.33,CAD
CA00000016,2025-01-06,BR001,TLR-9327,C502107,cash deposit,710.71,CAD
CA00000224,2025-01-20,BR001,TLR-2122,C502333,cash withdrawal,497.3,CAD
CA00001669,2025-01-16,BR008,TLR-4585,C503111,cash withdrawal,695.44,CAD
CA00007670,2025-01-13,BR038,TLR-1450,C502050,cash deposit,708.72,CAD
CA00004822,2025-01-14,BR025,TLR-4903,C503737,cash deposit,1252.71,CAD
CA00003773,2025-01-21,BR019,TLR-3244,C502653,cash deposit,1792.17,CAD
CA00004531,2025-01-25,BR024,TLR-7058,C500539,cash deposit,980.8,CAD
CA00006524,2025-01-17,BR033,TLR-9116,C503735,cash deposit,748.47,CAD
CA00008491,2025-01-31,BR040,TLR-3908,C500691,cash deposit,423.39,CAD
CA00008603,2025-01-08,BR040,TLR-9539,C500291,cash deposit,953.57,CAD
CA00004093,2025-01-25,BR021,TLR-5652,C502289,cash deposit,430.37,CAD
CA00003174,2025-01-19,BR016,TLR-8855,C500689,cash deposit,529.54,CAD
CA00006348,2025-01-14,BR032,TLR-1994,C502274,cash withdrawal,1066.93,CAD
CA00004260,2025-01-27,BR022,TLR-1834,C502895,cash deposit,778.82,CAD
CA00003303,2025-01-27,BR017,TLR-9491,C503248,cash deposit,2765.67,CAD
CA00002274,2025-01-02,BR012,TLR-7116,C501517,cash withdrawal,1082.11,CAD
CA00000697,2025-01-17,BR003,TLR-5927,C500270,cash deposit,1035.31,CAD
CA00002724,2025-01-07,BR015,TLR-4640,C502789,cash withdrawal,576.79,CAD
CA00000221,2025-01-28,BR001,TLR-1866,C502398,cash withdrawal,2050.3,CAD
CA00004157,2025-01-15,BR021,TLR-7134,C501278,cash deposit,667.47,CAD
CA00002035,2025-01-17,BR010,TLR-2800,C501258,cash deposit,143.63,CAD
CA00003101,2025-01-29,BR016,TLR-7536,C502358,cash deposit,627.17,CAD
CA00001871,2025-01-24,BR009,TLR-9183,C500991,cash withdrawal,324.93,CAD
CA00006893,2025-01-23,BR035,TLR-7451,C503625,cash deposit,651.24,CAD
CA00008306,2025-01-10,BR040,TLR-5318,C501632,cash deposit,979.63,CAD
CA00008127,2025-01-25,BR040,TLR-4649,C503389,cash withdrawal,766.2,CAD
CA00008192,2025-01-18,BR040,TLR-5999,C500160,cash withdrawal,225.1,CAD
CA00003226,2025-01-02,BR017,TLR-7426,C503498,cash withdrawal,461.37,CAD
CA00005101,2025-01-21,BR026,TLR-3684,C503902,cash withdrawal,-1086.68,CAD
CA00001110,2025-01-20,BR006,TLR-6906,C501276,cash deposit,3079.08,CAD
CA00006782,2025-01-24,BR035,TLR-1515,C500401,cash withdrawal,632.89,CAD
CA00004821,2025-01-07,BR025,TLR-5845,C500779,cash withdrawal,-630.76,CAD
CA00001961,2025-01-07,BR010,TLR-3789,C500765,cash deposit,1348.41,CAD
CA00007237,2025-01-28,BR036,TLR-5919,C502454,cash withdrawal,342.3,CAD
CA00005948,2025-01-28,BR030,TLR-7660,C503251,cash withdrawal,291.11,CAD
CA00008446,2025-01-22,BR040,TLR-9739,C500848,cash withdrawal,510.04,CAD
CA00007531,2025-01-29,BR037,TLR-9143,C501661,cash deposit,947.71,CAD
CA00004483,2025-01-11,BR024,TLR-1282,C502191,cash deposit,1677.19,CAD
CA00003131,2025-01-03,BR016,TLR-1691,C500962,cash withdrawal,965.16,CAD
CA00002473,2025-01-09,BR013,TLR-9269,C502321,cash deposit,1792.94,CAD
CA00000809,2025-01-16,BR004,TLR-5168,C500451,cash withdrawal,1480.87,CAD
CA00008082,2025-01-16,BR040,TLR-7335,C501757,cash withdrawal,937.04,CAD
CA00002894,2025-01-27,BR015,TLR-2980,C502529,cash withdrawal,825.19,CAD
CA00002959,2025-01-28,BR015,TLR-3491,C503883,cash deposit,864.99,CAD
CA00002692,2025-01-09,BR014,TLR-1944,C502132,cash deposit,782.91,CAD
CA00000859,2025-01-15,BR004,TLR-9931,C500207,cash deposit,1799.31,CAD
CA00007850,2025-01-04,BR039,TLR-6759,C501951,cash withdrawal,569.74,CAD
CA00006638,2025-01-02,BR034,TLR-7736,C503462,cash deposit,455.95,CAD
CA00000337,2025-01-04,BR002,TLR-5735,C503764,cash withdrawal,-542.48,CAD
CA00004805,2025-01-29,BR025,TLR-6532,C502213,cash deposit,876.85,CAD
CA00001861,2025-01-25,BR009,TLR-1183,C500534,cash deposit,1109.34,CAD
CA00003514,2025-01-27,BR018,TLR-9484,C503954,cash deposit,1195.69,CAD
CA00004525,2025-01-03,BR024,TLR-4533,C500514,cash deposit,1091.25,CAD
CA00003368,2025-01-11,BR017,TLR-8910,C501140,cash withdrawal,2390.61,CAD
CA00003076,2025-01-13,BR016,TLR-9573,C503825,cash deposit,357.95,CAD
CA00006211,2025-01-07,BR031,TLR-6190,C502684,cash deposit,747.48,CAD
CA00005558,2025-01-09,BR029,TLR-5818,C503213,cash deposit,328.28,CAD
CA00002506,2025-01-11,BR014,TLR-8867,C502364,cash deposit,1154.68,CAD
CA00000075,2025-01-11,BR001,TLR-9909,C502343,cash withdrawal,1191.49,CAD
CA00005291,2025-01-28,BR027,TLR-2348,C502165,cash deposit,1825.7,CAD
CA00006187,2025-01-05,BR031,TLR-6925,C502370,cash deposit,773.51,CAD
CA00008111,2025-01-30,BR040,TLR-8803,C502140,cash withdrawal,1734.45,CAD
CA00007234,2025-01-22,BR036,TLR-4343,C501250,cash withdrawal,1032.15,CAD
CA00007880,2025-01-28,BR039,TLR-2280,C501187,cash withdrawal,1835.55,CAD
CA00001085,2025-01-01,BR005,TLR-5739,C501855,cash deposit,594.59,CAD
CA00001355,2025-01-04,BR007,TLR-7323,C501442,cash withdrawal,718.23,CAD
CA00008015,2025-01-19,BR040,TLR-3892,C500855,cash withdrawal,1048.66,CAD
