TransactionID,Date,BranchCode,CustomerID,TellerID,Amount,TransactionType,Currency
CA00012355,2025-02-22,BR019,C500082,TLR-6699,956.35,cash deposit,CAD
CA00008948,2025-02-17,BR001,C500628,TLR-8431,322.1,cash deposit,CAD
CA00012148,2025-02-18,BR017,C500741,TLR-3029,742.06,cash withdrawal,CAD
CA00010089,2025-02-06,BR007,C501169,TLR-8547,2413.71,cash deposit,CAD
CA00010069,2025-02-21,BR007,C503307,TLR-2562,1271.17,cash deposit,CAD
CA00012441,2025-02-28,BR019,C500266,TLR-8387,912.01,cash deposit,CAD
CA00016539,2025-02-06,BR039,C501401,TLR-3388,1367.39,cash deposit,CAD
CA00011666,2025-02-08,BR015,C501315,TLR-1176,1035.64,cash withdrawal,CAD
CA00011317,2025-02-22,BR014,C501581,TLR-7767,423.93,cash deposit,CAD
CA00010728,2025-02-26,BR010,C503526,TLR-6229,1050.13,cash withdrawal,CAD
CA00016771,2025-02-25,BR040,C503144,TLR-6823,403.46,cash deposit,CAD
CA00013486,2025-02-15,BR025,C503753,TLR-5679,482.93,cash deposit,CAD
CA00010435,2025-02-09,BR008,C500193,TLR-5021,657.28,cash withdrawal,CAD
CA00009295,2025-02-24,BR003,C500678,TLR-1835,302.44,cash deposit,CAD
CA00016538,2025-02-07,BR039,C500382,TLR-8683,584.75,cash deposit,CAD
CA00015079,2025-02-21,BR032,C500808,TLR-7541,7509.64,cash deposit,CAD
CA00010497,2025-02-16,BR008,C501415,TLR-7420,2062.22,cash deposit,CAD
CA00015704,2025-02-14,BR036,C501541,TLR-5653,1473.86,cash withdrawal,CAD
CA00013195,2025-02-11,BR024,C501808,TLR-9595,893.47,cash withdrawal,CAD
CA00008811,2025-02-13,BR001,C500196,TLR-5396,847.92,cash deposit,CAD
CA00009177,2025-02-18,BR002,C503451,TLR-8194,-1055.03,cash withdrawal,CAD
CA00012385,2025-02-23,BR019,C503647,TLR-6971,931.04,cash withdrawal,CAD
CA00010639,2025-02-17,BR009,C503083,TLR-9158,2288.75,cash withdrawal,CAD
CA00012098,2025-02-25,BR017,C500753,TLR-6735,291.17,cash withdrawal,CAD
CA00015763,2025-02-05,BR036,C503849,TLR-1917,2316.2,cash withdrawal,CAD
CA00013253,2025-02-16,BR024,C500109,TLR-7700,2533.15,cash deposit,CAD
CA00014505,2025-02-03,BR030,C501298,TLR-8453,1943.4,cash withdrawal,CAD
CA00017685,2025-02-18,BR040,C503112,TLR-8982,535.33,cash withdrawal,CAD
CA00016266,2025-02-22,BR038,C502272,TLR-6926,1373.33,cash deposit,CAD
CA00015134,2025-02-10,BR033,C501758,TLR-7450,1227.62,cash deposit,CAD
CA00009387,2025-02-17,BR003,C501468,TLR-9058,1016.08,cash deposit,CAD
